"name","date_of_birth","wage"
"Juliette Dowsett","1998-06-18","11989.00"
"Osmund Bartos","1996-10-24","11953.00"
"Walsh Searles","2004-11-01","11901.00"
"Orly Heffernan","1987-07-21","11685.00"
"Allyn Morshead","1984-08-04","11633.00"
"Matthias Loadsman","1983-10-18","11621.00"
"Tiffani Denny","1988-12-15","11617.00"
"Amy Soldi","1993-06-07","11593.00"
"Samaria Hexam","2003-01-26","11505.00"
"Siobhan Piwell","1976-10-30","11502.00"
"Pascal Penketh","2001-04-05","11492.00"
"Elsi Tythe","1979-03-07","11489.00"
"Piggy Cape","1999-03-08","11488.00"
"Annabelle Coughtrey","1990-02-23","11428.00"
"Nichole Elward","2004-03-16","11376.00"
"Barrie Manketell","2002-08-24","11324.00"
"Bunnie Kinnaird","1988-09-15","11265.00"
"Corella Furst","1983-09-15","11157.00"
"Enoch Forrester","1989-11-08","11111.00"
"Carlye Halfacre","1994-02-11","11064.00"
"Lezley Paff","2002-02-25","11038.00"
"Regen Easen","1975-04-09","10875.00"
"Joleen Gawke","2003-12-16","10811.00"
"Jeremie Oldcroft","1982-05-12","10783.00"
"Mellisa Itzkov","1975-10-09","10747.00"
"Rich Isgar","2004-01-31","10617.00"
"Leopold Elderidge","2003-12-11","10602.00"
"Daveen Sleite","1991-05-02","10581.00"
"Corbett Havoc","1992-05-27","10570.00"
"Johannes Powis","1975-06-13","10565.00"
"Sari Dorney","1973-07-31","10549.00"
"Carena Woods","1988-06-15","10537.00"
"Gaspar Moar","1989-06-25","10529.00"
"Druci Hendrik","1976-09-26","10465.00"
"Leonerd Burrage","1977-03-08","10439.00"
"Eddie Martschik","2000-02-17","10425.00"
"Jackqueline Berk","1975-02-11","10379.00"
"Priscella Olifard","1998-06-17","10366.00"
"Luca Templeman","1974-12-13","10332.00"
"Darcy Gateland","1984-02-27","10329.00"
"Manda Pascow","1984-12-16","10304.00"
"Romy Warner","1994-09-13","10295.00"
"Diana Sommerscales","1972-02-02","10260.00"
"Concordia Duesberry","1988-09-05","10214.00"
"Etti Doucette","1973-10-28","10204.00"
"Marcille Beale","2001-05-04","10186.00"
"Ki Camilleri","1979-07-28","10096.00"
"Nikolos McGinny","1978-10-19","9932.00"
"Tilda Swindin","1999-09-21","9832.00"
"Risa Moralee","1988-12-26","9829.00"
"Jehanna Abramowitz","1989-10-16","9801.00"
"Aleksandr Condit","1976-01-30","9780.00"
"Chaddy Jordin","1979-05-28","9763.00"
"Susanetta Knolles-Green","2000-03-07","9757.00"
"Anton Redfearn","1999-11-03","9708.00"
"Sybilla Agiolfinger","1991-03-10","9670.00"
"Blair MacKeeg","1993-11-01","9500.00"
"Ethelyn Malthouse","1980-07-12","9500.00"
"Shellysheldon Everiss","1989-04-02","9500.00"
"Arly Bradtke","1974-09-16","9500.00"
"Emlynn Siggery","1977-05-19","9500.00"
"Dallas Trighton","1989-09-23","9500.00"
"Shirley Hardan","1990-12-26","9500.00"
"Ronnica Calabry","1988-12-11","9500.00"
"Marcile McNish","1986-11-18","9500.00"
"Jenny Clever","1974-12-27","9500.00"
"Jayne Gebuhr","1973-04-23","9500.00"
"Eunice Leaf","1984-09-15","9500.00"
"Georgiana Gotch","1971-07-15","9500.00"
"Abel Stillert","1995-12-17","9500.00"
"Rona Scatchar","2002-07-04","9500.00"
"Averil Tolfrey","1985-06-18","9500.00"
"Fleming Callender","1990-08-20","9500.00"
"Silvanus Fellows","1995-07-30","9500.00"
"Kakalina Gliddon","1975-01-05","9500.00"
"Nerta Hucker","1981-03-27","9500.00"
"Edwin Jackson","1993-11-19","9449.00"
"Goddard Pidgley","2001-01-07","9438.00"
"Pier Phittiplace","1979-04-16","9400.00"
"Franciskus Travis","1990-03-20","9388.00"
"Alejandro Wibrow","1977-11-08","9365.00"
"Bendite Kirsop","1974-06-09","9338.00"
"Dori Mains","1989-10-08","9331.00"
"Rickert Menis","1982-10-11","9321.00"
"Gwendolin Fullard","1997-01-03","9237.00"
"Hayes McInerney","1986-06-20","9231.00"
"Magnum Furmagier","1990-01-09","9221.00"
"Everett Garrand","1978-09-19","9167.00"
"Cos Torbett","1993-10-24","9132.00"
"Anne-corinne Ferrarin","1991-11-26","9110.00"
"Margaux Lobb","1997-06-29","9063.00"
"Alex Sobczak","1973-08-31","9042.00"
"Shandeigh Constance","1977-06-23","9020.00"
"Karna Nannoni","1990-01-05","8995.00"
"Crawford Debenham","2005-04-04","8962.00"
"Sadella Tolfrey","1992-02-04","8916.00"
"Gerik Wiz","1971-07-16","8907.00"
"Karena O'Boyle","1984-08-09","8900.00"
"Wes Wortman","1991-02-27","8885.00"
"Stafani Fawltey","1972-02-01","8840.00"
"Petronella Morey","1984-03-27","8828.00"
"Helena Rantoul","1973-08-06","8811.00"
"Aeriell Domanski","1986-09-02","8795.00"
"Devin Tessyman","1971-09-20","8789.00"
"Kathrine Soulsby","1975-10-10","8749.00"
"Reyna Senton","2002-11-24","8717.00"
"Cherise Baurerich","1998-11-09","8694.00"
"Corinna Ossulton","1987-03-20","8677.00"
"Wolf MacCourt","1985-09-24","8553.00"
"Giralda Dengel","1982-10-06","8546.00"
"Shaine Jonk","2003-01-07","8536.00"
"Ethelbert Kimmerling","1996-09-18","8514.00"
"Roi Cokly","2005-08-11","8513.00"
